Time after synchronization (s),ADC I on secondary,ADC Q on secondary
0.000002950,808,28
0.000002960,384,-884
0.000002970,632,424
0.000002980,804,-192
0.000002990,548,-156
0.000003000,476,-56
0.000003010,720,60
0.000003020,36,240
0.000003030,352,420
0.000003040,652,-188
0.000003050,472,332
0.000003060,788,-20
0.000003070,596,204
0.000003080,552,-288
0.000003090,568,156
0.000003100,684,20
0.000003110,552,-796
0.000003120,924,-164
0.000003130,684,-52
0.000003140,400,-400
0.000003150,308,92
0.000003160,252,252
0.000003170,840,148
0.000003180,960,52
0.000003190,696,36
0.000003200,188,-272
0.000003210,136,-324
0.000003220,508,-432
0.000003230,740,0
0.000003240,324,-348
0.000003250,476,-700
0.000003260,236,-448
0.000003270,964,-532
0.000003280,952,-332
0.000003290,352,-148
0.000003300,444,-608
0.000003310,424,-132
0.000003320,824,-144
0.000003330,892,20
0.000003340,820,-164
0.000003350,604,-504
0.000003360,528,-140
0.000003370,-136,-460
0.000003380,720,-164
0.000003390,552,-388
0.000003400,228,-384
0.000003410,632,-616
0.000003420,756,-188
0.000003430,280,276
0.000003440,288,-40
0.000003450,408,-292
0.000003460,168,-328
0.000003470,868,320
0.000003480,160,172
0.000003490,448,176
0.000003500,420,-308
0.000003510,920,-352
0.000003520,604,-280
0.000003530,680,-356
0.000003540,1060,-236
0.000003550,520,336
0.000003560,524,-24
0.000003570,348,200
0.000003580,580,36
0.000003590,80,-168
0.000003600,300,-576
0.000003610,132,-116
0.000003620,872,-700
0.000003630,544,196
0.000003640,416,-716
0.000003650,364,76
0.000003660,364,-340
0.000003670,304,480
0.000003680,344,-120
0.000003690,320,-48
0.000003700,464,196
0.000003710,1048,-248
0.000003720,692,-264
0.000003730,68,84
0.000003740,-112,-480
0.000003750,272,364
0.000003760,544,-508
0.000003770,620,-560
0.000003780,56,-148
0.000003790,476,-152
0.000003800,92,-524
0.000003810,20,84
0.000003820,444,60
0.000003830,-64,-436
0.000003840,1076,0
0.000003850,456,-452
0.000003860,632,-160
0.000003870,168,-408
0.000003880,616,-164
0.000003890,116,-376
0.000003900,452,-128
0.000003910,1032,-244
0.000003920,316,-396
0.000003930,808,-748
0.000003940,492,236
0.000003950,332,-392
0.000003960,580,-416
0.000003970,300,-500
0.000003980,44,-188
0.000003990,316,-248
0.000004000,412,-76
0.000004010,48,156
0.000004020,208,-668
0.000004030,984,168
0.000004040,240,0
0.000004050,812,-432
0.000004060,956,-308
0.000004070,-620,-324
0.000004080,292,-416
0.000004090,516,440
0.000004100,888,336
0.000004110,148,160
0.000004120,416,-104
0.000004130,812,304
0.000004140,464,-16
0.000004150,692,-396
0.000004160,232,-100
0.000004170,876,-4
0.000004180,928,-368
0.000004190,624,-436
0.000004200,232,-140
0.000004210,480,-328
0.000004220,388,-16
0.000004230,404,-408
0.000004240,208,-88
0.000004250,924,-544
0.000004260,376,20
0.000004270,792,-112
0.000004280,1096,-500
0.000004290,980,-616
0.000004300,608,-68
0.000004310,468,-108
0.000004320,216,-384
0.000004330,444,228
0.000004340,856,-904
0.000004350,332,460
0.000004360,460,-208
0.000004370,848,-56
0.000004380,624,-260
0.000004390,684,-72
0.000004400,304,-80
0.000004410,296,-316
0.000004420,484,-264
0.000004430,628,-180
0.000004440,524,64
0.000004450,404,-556
0.000004460,620,-196
0.000004470,404,8
0.000004480,904,212
0.000004490,516,-44
0.000004500,564,-276
0.000004510,452,28
0.000004520,316,276
0.000004530,572,-484
0.000004540,496,-348
0.000004550,136,-356
0.000004560,760,-736
0.000004570,432,-292
0.000004580,540,-96
0.000004590,684,-12
0.000004600,712,-440
0.000004610,536,-488
0.000004620,588,-424
0.000004630,512,116
0.000004640,724,-236
0.000004650,688,-460
0.000004660,756,-76
0.000004670,652,-336
0.000004680,624,-388
0.000004690,752,76
0.000004700,820,-332
0.000004710,276,-516
0.000004720,244,-140
0.000004730,416,-492
0.000004740,252,-740
0.000004750,160,324
0.000004760,560,-220
0.000004770,424,-156
0.000004780,348,408
0.000004790,224,-288
0.000004800,476,-164
0.000004810,412,-524
0.000004820,768,156
0.000004830,584,-76
0.000004840,660,-572
0.000004850,812,-156
0.000004860,672,-500
0.000004870,440,144
0.000004880,668,364
0.000004890,812,248
0.000004900,528,0
0.000004910,444,-196
0.000004920,176,-664
0.000004930,340,-292
0.000004940,184,-228
0.000004950,884,-72
0.000004960,540,320
0.000004970,296,-112
0.000004980,968,-236
0.000004990,748,-336
0.000005000,316,228
0.000005010,104,-68
0.000005020,92,236
0.000005030,24,160
0.000005040,124,-312
0.000005050,552,-48
0.000005060,720,-752
0.000005070,584,-64
0.000005080,808,-152
0.000005090,128,16
0.000005100,232,-368
0.000005110,100,-104
0.000005120,-128,612
0.000005130,624,-828
0.000005140,548,-188
0.000005150,428,-596
0.000005160,328,-108
0.000005170,776,-72
0.000005180,500,-232
0.000005190,360,376
0.000005200,644,-616
0.000005210,972,-84
0.000005220,716,-264
0.000005230,180,-256
0.000005240,768,16
0.000005250,140,-900
0.000005260,344,-360
0.000005270,476,12
0.000005280,496,-340
0.000005290,548,-64
0.000005300,816,136
0.000005310,556,-456
0.000005320,272,436
0.000005330,52,-360
0.000005340,840,-176
0.000005350,600,388
0.000005360,436,108
0.000005370,472,-152
0.000005380,868,-160
0.000005390,500,-40
0.000005400,408,-60
0.000005410,872,-336
0.000005420,540,-436
0.000005430,840,208
0.000005440,876,384
0.000005450,696,-520
0.000005460,184,-352
0.000005470,16,-88
0.000005480,376,-400
0.000005490,172,-324
0.000005500,620,76
0.000005510,628,-456
0.000005520,340,328
0.000005530,688,-472
0.000005540,-48,-44
0.000005550,528,-200
0.000005560,492,-592
0.000005570,476,200
0.000005580,700,-324
0.000005590,604,380
0.000005600,1072,-320
0.000005610,116,-440
0.000005620,-36,-412
0.000005630,380,-228
0.000005640,760,-284
0.000005650,232,-308
0.000005660,288,-124
0.000005670,340,-192
0.000005680,252,-220
0.000005690,208,-120
0.000005700,284,-160
0.000005710,532,-372
0.000005720,968,156
0.000005730,424,-300
0.000005740,828,560
0.000005750,12,-316
0.000005760,872,88
0.000005770,-40,-444
0.000005780,700,-292
0.000005790,424,-224
0.000005800,432,28
0.000005810,348,132
0.000005820,128,-324
0.000005830,264,-492
0.000005840,704,-480
0.000005850,368,-184
0.000005860,156,-292
0.000005870,512,-204
0.000005880,812,8
0.000005890,468,-392
0.000005900,536,-244
0.000005910,700,372
0.000005920,16,60
0.000005930,592,-580
0.000005940,396,-168
0.000005950,392,-276
0.000005960,432,-464
0.000005970,264,-256
0.000005980,636,-252
0.000005990,444,-268
0.000006000,424,-152
0.000006010,720,-332
0.000006020,44,208
0.000006030,404,-12
0.000006040,544,-24
0.000006050,460,424
0.000006060,404,-224
0.000006070,608,212
0.000006080,324,-412
0.000006090,268,-1284
0.000006100,164,-176
0.000006110,380,-272
0.000006120,368,160
0.000006130,396,-140
0.000006140,720,-108
0.000006150,240,32
0.000006160,928,292
0.000006170,824,136
0.000006180,692,-804
0.000006190,796,32
0.000006200,488,-420
0.000006210,952,204
0.000006220,432,104
0.000006230,500,-164
0.000006240,48,172
0.000006250,92,-424
0.000006260,472,-208
0.000006270,272,12
0.000006280,20,28
0.000006290,576,-36
0.000006300,1036,-116
0.000006310,540,284
0.000006320,472,-24
0.000006330,208,-588
0.000006340,128,-348
0.000006350,356,-188
0.000006360,908,-232
0.000006370,396,176
0.000006380,704,-212
0.000006390,308,-380
0.000006400,168,-100
0.000006410,820,-132
0.000006420,944,-384
0.000006430,392,-248
0.000006440,256,-248
0.000006450,1144,-64
0.000006460,532,360
0.000006470,856,224
0.000006480,400,-140
0.000006490,816,88
0.000006500,180,-188
0.000006510,776,364
0.000006520,388,-740
0.000006530,656,-200
0.000006540,-64,-336
0.000006550,280,-1036
0.000006560,716,-204
0.000006570,1080,-392
0.000006580,1176,-276
0.000006590,144,-232
0.000006600,544,-52
0.000006610,444,-536
0.000006620,388,-284
0.000006630,372,-348
0.000006640,772,-520
0.000006650,744,-368
0.000006660,836,72
0.000006670,-56,224
0.000006680,324,-456
0.000006690,880,-368
0.000006700,348,-372
0.000006710,584,-68
0.000006720,520,-332
0.000006730,596,540
0.000006740,492,-176
0.000006750,728,-288
0.000006760,312,-176
0.000006770,528,420
0.000006780,368,116
0.000006790,268,-128
0.000006800,312,-476
0.000006810,332,-492
0.000006820,828,92
0.000006830,532,140
0.000006840,44,232
0.000006850,684,16
0.000006860,184,-12
0.000006870,380,-48
0.000006880,380,-148
0.000006890,316,-204
0.000006900,24,-32
0.000006910,308,-436
0.000006920,252,-420
0.000006930,1008,-216
0.000006940,580,-332
0.000006950,792,-348
0.000006960,404,-244
0.000006970,824,-292
0.000006980,364,-48
0.000006990,444,-620
0.000007000,584,140
0.000007010,872,-124
0.000007020,612,-340
0.000007030,160,-56
0.000007040,368,156
0.000007050,152,300
0.000007060,296,160
0.000007070,220,136
0.000007080,240,248
0.000007090,532,-496
0.000007100,356,92
0.000007110,-208,92
0.000007120,356,-8
0.000007130,672,-80
0.000007140,444,796
0.000007150,888,-216
0.000007160,820,-148
0.000007170,380,-464
0.000007180,1016,400
0.000007190,1100,-108
0.000007200,296,-28
0.000007210,528,160
0.000007220,440,-320
0.000007230,704,-176
0.000007240,220,-156
0.000007250,204,-460
0.000007260,184,-60
0.000007270,360,36
0.000007280,264,-76
0.000007290,172,-612
0.000007300,568,120
0.000007310,392,16
0.000007320,-84,180
0.000007330,560,-496
0.000007340,356,-100
0.000007350,436,104
0.000007360,760,64
0.000007370,800,-328
0.000007380,-212,80
0.000007390,604,-832
0.000007400,1032,-256
0.000007410,-208,188
0.000007420,872,-344
0.000007430,524,-252
0.000007440,536,-320
0.000007450,620,140
0.000007460,812,-380
0.000007470,144,76
0.000007480,216,260
0.000007490,316,-728
0.000007500,716,-56
0.000007510,212,-1076
0.000007520,408,-624
0.000007530,400,-396
0.000007540,32,-196
0.000007550,192,92
0.000007560,668,-440
0.000007570,812,136
0.000007580,820,60
0.000007590,924,-580
0.000007600,288,-128
0.000007610,200,-196
0.000007620,316,56
0.000007630,288,116
0.000007640,888,-184
0.000007650,-52,-232
0.000007660,528,-556
0.000007670,396,-184
0.000007680,456,-464
0.000007690,616,44
0.000007700,440,-296
0.000007710,-68,36
0.000007720,852,-736
0.000007730,928,-612
0.000007740,620,-780
0.000007750,964,-372
0.000007760,720,-348
0.000007770,396,-192
0.000007780,1076,-64
0.000007790,472,208
0.000007800,344,-44
0.000007810,724,-456
0.000007820,908,-40
0.000007830,-128,116
0.000007840,980,56
0.000007850,688,-84
0.000007860,568,-60
0.000007870,708,-604
0.000007880,912,-188
0.000007890,108,-396
0.000007900,388,-188
0.000007910,728,-284
0.000007920,304,372
0.000007930,432,196
0.000007940,744,60
0.000007950,772,-124
0.000007960,248,228
0.000007970,360,60
0.000007980,500,584
0.000007990,436,16
0.000008000,672,-88
0.000008010,404,-348
0.000008020,732,-60
0.000008030,984,-524
0.000008040,28,-116
0.000008050,1112,-368
0.000008060,196,-76
0.000008070,112,-328
0.000008080,644,-272
0.000008090,344,24
0.000008100,200,-364
0.000008110,796,28
0.000008120,240,-540
0.000008130,524,108
0.000008140,40,324
0.000008150,276,-1264
0.000008160,580,-460
0.000008170,488,-428
0.000008180,1204,280
0.000008190,292,96
0.000008200,616,76
0.000008210,152,488
0.000008220,652,72
0.000008230,36,-460
0.000008240,-112,28
0.000008250,684,-864
0.000008260,620,-228
0.000008270,424,-68
0.000008280,276,-400
0.000008290,660,-244
0.000008300,1016,-104
0.000008310,404,-224
0.000008320,200,4
0.000008330,440,292
0.000008340,4,-168
0.000008350,348,-224
0.000008360,528,-60
0.000008370,484,-688
0.000008380,528,-384
0.000008390,320,-152
0.000008400,772,264
0.000008410,244,0
0.000008420,608,-260
0.000008430,764,-104
0.000008440,632,-104
0.000008450,708,-280
0.000008460,1044,92
0.000008470,460,0
0.000008480,284,-216
0.000008490,560,-84
0.000008500,564,-428
0.000008510,928,-332
0.000008520,76,68
0.000008530,600,92
0.000008540,700,-180
0.000008550,636,-24
0.000008560,516,236
0.000008570,640,152
0.000008580,864,-640
0.000008590,648,-284
0.000008600,640,-332
0.000008610,424,136
0.000008620,140,-340
0.000008630,464,-92
0.000008640,-180,-468
0.000008650,8,-56
0.000008660,-48,-480
0.000008670,664,-188
0.000008680,880,60
0.000008690,328,-392
0.000008700,888,-528
0.000008710,464,-572
0.000008720,1152,-12
0.000008730,620,-308
0.000008740,504,-684
0.000008750,692,-304
0.000008760,740,0
0.000008770,192,268
0.000008780,148,-216
0.000008790,368,-300
0.000008800,204,120
0.000008810,964,-1136
0.000008820,680,-268
0.000008830,-76,-88
0.000008840,448,172
0.000008850,668,-276
0.000008860,332,188
0.000008870,304,-108
0.000008880,644,-432
0.000008890,744,32
0.000008900,212,60
0.000008910,456,244
0.000008920,288,-424
0.000008930,756,312
0.000008940,640,-644
0.000008950,44,200
0.000008960,776,-248
0.000008970,144,56
0.000008980,716,188
0.000008990,492,-448
0.000009000,548,-136
0.000009010,540,108
0.000009020,100,300
0.000009030,584,-136
0.000009040,640,-44
0.000009050,184,-452
0.000009060,684,100
0.000009070,528,-252
0.000009080,324,32
0.000009090,184,-388
0.000009100,360,-448
0.000009110,576,-408
0.000009120,380,140
0.000009130,360,112
0.000009140,860,-248
0.000009150,700,-600
0.000009160,452,-304
0.000009170,720,-40
0.000009180,780,-476
0.000009190,664,-204
0.000009200,152,-172
0.000009210,180,32
0.000009220,576,-856
0.000009230,372,176
0.000009240,852,-216
0.000009250,536,-304
0.000009260,868,-348
0.000009270,268,64
0.000009280,512,-172
0.000009290,864,-24
0.000009300,736,-584
0.000009310,72,-252
0.000009320,812,-196
0.000009330,636,-336
0.000009340,244,-132
0.000009350,480,-296
0.000009360,404,436
0.000009370,72,-184
0.000009380,308,-708
0.000009390,292,-300
0.000009400,712,-160
0.000009410,1120,296
0.000009420,376,336
0.000009430,12,-920
0.000009440,544,-400
0.000009450,748,-184
0.000009460,780,-28
0.000009470,160,-624
0.000009480,440,-96
0.000009490,584,-116
0.000009500,300,-172
0.000009510,636,-620
0.000009520,772,16
0.000009530,204,-188
0.000009540,568,60
0.000009550,448,32
0.000009560,780,-628
0.000009570,656,140
0.000009580,420,-340
0.000009590,820,-92
0.000009600,656,-220
0.000009610,372,-676
0.000009620,1000,-280
0.000009630,200,-284
0.000009640,240,-368
0.000009650,52,120
0.000009660,276,-252
0.000009670,264,48
0.000009680,380,68
0.000009690,480,-444
0.000009700,144,172
0.000009710,488,-108
0.000009720,460,-12
0.000009730,8,-448
0.000009740,228,52
0.000009750,392,-56
0.000009760,328,-228
0.000009770,444,-72
0.000009780,500,-460
0.000009790,572,-400
0.000009800,776,-1028
0.000009810,764,200
0.000009820,508,-116
0.000009830,528,-128
0.000009840,236,-416
0.000009850,584,-612
0.000009860,452,-328
0.000009870,344,-560
0.000009880,556,-400
0.000009890,372,-572
0.000009900,528,-444
0.000009910,-36,-152
0.000009920,80,-312
0.000009930,216,-328
0.000009940,820,204
0.000009950,1212,-296
0.000009960,456,-424
0.000009970,552,-28
0.000009980,124,636
0.000009990,192,-732
0.000010000,364,-332
0.000010010,188,-12
0.000010020,516,-360
0.000010030,328,-536
0.000010040,684,292
0.000010050,404,-408
0.000010060,300,-452
0.000010070,460,236
0.000010080,-360,-40
0.000010090,812,-472
0.000010100,412,-28
0.000010110,648,-160
0.000010120,824,-960
0.000010130,700,-448
0.000010140,740,-388
0.000010150,488,-84
0.000010160,240,-464
0.000010170,728,-64
0.000010180,676,40
0.000010190,620,-28
0.000010200,776,-68
0.000010210,200,-644
0.000010220,-8,116
0.000010230,824,120
0.000010240,424,-424
0.000010250,184,-500
0.000010260,420,-892
0.000010270,956,-340
0.000010280,516,-300
0.000010290,260,-152
0.000010300,796,-180
0.000010310,504,176
0.000010320,376,-612
0.000010330,436,-76
0.000010340,800,24
0.000010350,488,-148
0.000010360,468,-108
0.000010370,560,40
0.000010380,-120,-580
0.000010390,260,-216
0.000010400,556,-440
0.000010410,292,-152
0.000010420,588,-216
0.000010430,880,348
0.000010440,972,-268
0.000010450,884,-136
0.000010460,1480,176
0.000010470,960,-84
0.000010480,212,24
0.000010490,236,-444
0.000010500,340,-260
0.000010510,332,-88
0.000010520,-48,-28
0.000010530,448,-264
0.000010540,440,-396
0.000010550,548,-368
0.000010560,744,188
0.000010570,776,788
0.000010580,584,-324
0.000010590,736,116
0.000010600,788,68
0.000010610,1192,-460
0.000010620,748,-216
0.000010630,488,-368
0.000010640,216,-176
0.000010650,180,-660
0.000010660,240,-600
0.000010670,576,140
0.000010680,392,-572
0.000010690,1044,-340
0.000010700,888,-28
0.000010710,612,-388
0.000010720,708,-384
0.000010730,-104,84
0.000010740,660,-96
0.000010750,312,-356
0.000010760,424,244
0.000010770,616,284
0.000010780,580,-540
0.000010790,104,80
0.000010800,712,328
0.000010810,460,-340
0.000010820,448,364
0.000010830,808,-340
0.000010840,356,104
0.000010850,80,-560
