Time after synchronization (s),ADC I on primary,ADC Q on primary
0.000003060,444,-112
0.000003070,888,492
0.000003080,1172,736
0.000003090,716,256
0.000003100,296,-136
0.000003110,740,224
0.000003120,1168,704
0.000003130,880,348
0.000003140,380,-152
0.000003150,632,132
0.000003160,1148,652
0.000003170,1020,508
0.000003180,488,-108
0.000003190,544,-12
0.000003200,1128,620
0.000003210,1104,616
0.000003220,532,16
0.000003230,456,-44
0.000003240,932,528
0.000003250,1124,708
0.000003260,584,76
0.000003270,376,-100
0.000003280,876,428
0.000003290,1144,660
0.000003300,708,216
0.000003310,400,-168
0.000003320,788,288
0.000003330,1216,788
0.000003340,848,348
0.000003350,328,-188
0.000003360,720,252
0.000003370,1196,756
0.000003380,868,412
0.000003390,380,-72
0.000003400,648,160
0.000003410,1120,620
0.000003420,1004,492
0.000003430,484,-76
0.000003440,548,56
0.000003450,1144,672
0.000003460,1024,564
0.000003470,496,-40
0.000003480,488,44
0.000003490,1076,588
0.000003500,1064,640
0.000003510,472,36
0.000003520,484,-20
0.000003530,1012,600
0.000003540,1080,640
0.000003550,540,20
0.000003560,476,-76
0.000003570,1024,528
0.000003580,1076,632
0.000003590,524,132
0.000003600,408,-60
0.000003610,1016,552
0.000003620,1128,688
0.000003630,608,116
0.000003640,448,-36
0.000003650,968,420
0.000003660,1124,712
0.000003670,600,124
0.000003680,436,-112
0.000003690,908,452
0.000003700,1160,696
0.000003710,632,104
0.000003720,404,-80
0.000003730,944,428
0.000003740,1140,652
0.000003750,664,192
0.000003760,472,-48
0.000003770,928,420
0.000003780,1088,704
0.000003790,676,168
0.000003800,388,-100
0.000003810,944,484
0.000003820,1080,640
0.000003830,628,120
0.000003840,444,-44
0.000003850,944,464
0.000003860,1064,620
0.000003870,568,64
0.000003880,432,-48
0.000003890,968,556
0.000003900,1056,652
0.000003910,564,72
0.000003920,444,-44
0.000003930,996,516
0.000003940,1088,660
0.000003950,544,84
0.000003960,500,-32
0.000003970,1100,504
0.000003980,1028,548
0.000003990,568,20
0.000004000,512,-12
0.000004010,1064,524
0.000004020,1068,536
0.000004030,484,-24
0.000004040,496,24
0.000004050,1112,612
0.000004060,1020,544
0.000004070,432,-44
0.000004080,588,12
0.000004090,1164,652
0.000004100,984,444
0.000004110,444,-64
0.000004120,688,180
0.000004130,1204,716
0.000004140,796,376
0.000004150,368,-68
0.000004160,744,216
0.000004170,1188,724
0.000004180,772,316
0.000004190,348,-152
0.000004200,868,296
0.000004210,1128,724
0.000004220,692,216
0.000004230,372,-96
0.000004240,916,432
0.000004250,1088,668
0.000004260,596,156
0.000004270,432,-20
0.000004280,1036,528
0.000004290,1072,636
0.000004300,516,-52
0.000004310,552,-8
0.000004320,1024,632
0.000004330,1028,532
0.000004340,420,-56
0.000004350,580,136
0.000004360,1180,644
0.000004370,904,412
0.000004380,356,-148
0.000004390,684,172
0.000004400,1184,644
0.000004410,744,292
0.000004420,440,-120
0.000004430,908,352
0.000004440,1128,748
0.000004450,572,216
0.000004460,484,-80
0.000004470,1012,524
0.000004480,1064,624
0.000004490,464,20
0.000004500,444,-24
0.000004510,1116,624
0.000004520,916,520
0.000004530,400,-56
0.000004540,632,116
0.000004550,1180,724
0.000004560,784,408
0.000004570,388,-108
0.000004580,832,312
0.000004590,1172,692
0.000004600,704,200
0.000004610,412,-132
0.000004620,1056,516
0.000004630,1116,700
0.000004640,488,56
0.000004650,508,-28
0.000004660,1152,584
0.000004670,900,572
0.000004680,396,-148
0.000004690,656,112
0.000004700,1204,704
0.000004710,784,288
0.000004720,380,-184
0.000004730,864,348
0.000004740,1148,744
0.000004750,556,112
0.000004760,420,-188
0.000004770,1100,468
0.000004780,1060,592
0.000004790,444,-68
0.000004800,652,0
0.000004810,1236,748
0.000004820,868,396
0.000004830,368,-156
0.000004840,788,260
0.000004850,1192,756
0.000004860,648,160
0.000004870,400,-172
0.000004880,1092,516
0.000004890,1056,636
0.000004900,448,-80
0.000004910,596,64
0.000004920,1204,672
0.000004930,820,460
0.000004940,324,-196
0.000004950,832,276
0.000004960,1252,736
0.000004970,552,152
0.000004980,420,-140
0.000004990,1100,528
0.000005000,1080,620
0.000005010,400,-32
0.000005020,572,60
0.000005030,1240,748
0.000005040,804,440
0.000005050,336,-184
0.000005060,928,300
0.000005070,1180,728
0.000005080,492,120
0.000005090,420,-192
0.000005100,1148,644
0.000005110,976,608
0.000005120,312,-112
0.000005130,652,160
0.000005140,1248,756
0.000005150,656,256
0.000005160,324,-164
0.000005170,1036,440
0.000005180,1100,720
0.000005190,364,-64
0.000005200,556,-16
0.000005210,1248,688
0.000005220,776,440
0.000005230,312,-172
0.000005240,900,324
0.000005250,1144,804
0.000005260,536,112
0.000005270,468,-84
0.000005280,1160,680
0.000005290,932,588
0.000005300,328,-172
0.000005310,788,260
0.000005320,1244,816
0.000005330,548,176
0.000005340,420,-168
0.000005350,1124,584
0.000005360,1064,644
0.000005370,372,-124
0.000005380,760,144
0.000005390,1256,860
0.000005400,692,228
0.000005410,428,-180
0.000005420,1112,508
0.000005430,1088,676
0.000005440,380,-104
0.000005450,644,52
0.000005460,1228,736
0.000005470,708,324
0.000005480,356,-216
0.000005490,1028,492
0.000005500,1140,728
0.000005510,384,-20
0.000005520,660,32
0.000005530,1276,780
0.000005540,732,340
0.000005550,368,-216
0.000005560,1012,496
0.000005570,1064,716
0.000005580,396,-100
0.000005590,648,36
0.000005600,1304,780
0.000005610,692,292
0.000005620,360,-264
0.000005630,1080,480
0.000005640,1092,688
0.000005650,368,-148
0.000005660,688,84
0.000005670,1212,780
0.000005680,628,256
0.000005690,352,-220
0.000005700,1120,532
0.000005710,1032,612
0.000005720,336,-168
0.000005730,720,152
0.000005740,1236,804
0.000005750,576,200
0.000005760,416,-132
0.000005770,1092,584
0.000005780,960,592
0.000005790,332,-120
0.000005800,860,200
0.000005810,1212,788
0.000005820,560,120
0.000005830,480,-88
0.000005840,1272,668
0.000005850,824,500
0.000005860,284,-172
0.000005870,952,388
0.000005880,1172,792
0.000005890,432,8
0.000005900,640,12
0.000005910,1252,708
0.000005920,716,324
0.000005930,344,-200
0.000005940,1048,484
0.000005950,1000,636
0.000005960,352,-72
0.000005970,780,192
0.000005980,1252,748
0.000005990,580,116
0.000006000,448,-96
0.000006010,1236,632
0.000006020,948,516
0.000006030,352,-144
0.000006040,944,372
0.000006050,1128,728
0.000006060,408,28
0.000006070,568,-36
0.000006080,1204,720
0.000006090,748,416
0.000006100,320,-268
0.000006110,1044,420
0.000006120,1156,776
0.000006130,396,-40
0.000006140,504,-40
0.000006150,1204,704
0.000006160,916,524
0.000006170,332,-184
0.000006180,676,84
0.000006190,1172,804
0.000006200,932,472
0.000006210,444,-20
0.000006220,568,92
0.000006230,936,528
0.000006240,1084,576
0.000006250,848,276
0.000006260,572,12
0.000006270,492,132
0.000006280,724,400
0.000006290,984,632
0.000006300,1028,516
0.000006310,888,280
0.000006320,736,108
0.000006330,616,76
0.000006340,532,168
0.000006350,488,280
0.000006360,676,480
0.000006370,928,604
0.000006380,1096,644
0.000006390,1144,504
0.000006400,1020,328
0.000006410,988,120
0.000006420,852,92
0.000006430,828,56
0.000006440,876,84
0.000006450,840,48
0.000006460,736,20
0.000006470,624,-88
0.000006480,624,-76
0.000006490,608,12
0.000006500,616,-24
0.000006510,648,40
0.000006520,684,36
0.000006530,756,40
0.000006540,848,-32
0.000006550,960,-44
0.000006560,1068,-12
0.000006570,1176,0
0.000006580,1268,84
0.000006590,1320,280
